2018-06-24 16:46:40 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-06-24 16:46:41 INFO  SparkContext:54 - Running Spark version 2.3.0
2018-06-24 16:46:41 INFO  SparkContext:54 - Submitted application: Streaming App
2018-06-24 16:46:41 INFO  SecurityManager:54 - Changing view acls to: ubuntu
2018-06-24 16:46:41 INFO  SecurityManager:54 - Changing modify acls to: ubuntu
2018-06-24 16:46:41 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-06-24 16:46:41 INFO  SecurityManager:54 - Changing modify acls groups to: 
2018-06-24 16:46:41 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(ubuntu); groups with view permissions: Set(); users  with modify permissions: Set(ubuntu); groups with modify permissions: Set()
2018-06-24 16:46:41 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 33675.
2018-06-24 16:46:41 INFO  SparkEnv:54 - Registering MapOutputTracker
2018-06-24 16:46:41 INFO  SparkEnv:54 - Registering BlockManagerMaster
2018-06-24 16:46:41 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2018-06-24 16:46:41 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2018-06-24 16:46:41 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-2574f18a-f744-49da-94c3-29bcc9bd8203
2018-06-24 16:46:41 INFO  MemoryStore:54 - MemoryStore started with capacity 413.9 MB
2018-06-24 16:46:41 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2018-06-24 16:46:42 INFO  log:192 - Logging initialized @3099ms
2018-06-24 16:46:42 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2018-06-24 16:46:42 INFO  Server:414 - Started @3226ms
2018-06-24 16:46:42 INFO  AbstractConnector:278 - Started ServerConnector@21e2bf27{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2018-06-24 16:46:42 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@40ce1f3c{/jobs,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@182f5bf7{/jobs/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2758ff74{/jobs/job,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@305fcc14{/jobs/job/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@524dd90b{/stages,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@320e3f69{/stages/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5d1ae54a{/stages/stage,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6c643c82{/stages/stage/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@665ea4f1{/stages/pool,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@28971a8e{/stages/pool/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@12241d61{/storage,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5f69a38b{/storage/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4c03fdbb{/storage/rdd,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5c50dddf{/storage/rdd/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6e2d0c21{/environment,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7c4a9f94{/environment/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2ff74b83{/executors,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7593c587{/executors/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@73598310{/executors/threadDump,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5b4714d0{/executors/threadDump/json,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4ef9e768{/static,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7902a63d{/,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5fcc5775{/api,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@599f8332{/jobs/job/kill,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@67128547{/stages/stage/kill,null,AVAILABLE,@Spark}
2018-06-24 16:46:42 INFO  SparkUI:54 - Bound SparkUI to 0.0.0.0, and started at http://ip-172-31-29-64.ca-central-1.compute.internal:4040
2018-06-24 16:46:42 INFO  SparkContext:54 - Added file file:/home/ubuntu/assignment/a3/A3_DB/Label_Tweet_in_RealTime.py at file:/home/ubuntu/assignment/a3/A3_DB/Label_Tweet_in_RealTime.py with timestamp 1529858802866
2018-06-24 16:46:42 INFO  Utils:54 - Copying /home/ubuntu/assignment/a3/A3_DB/Label_Tweet_in_RealTime.py to /tmp/spark-1e507f08-92b6-4ac1-8811-1d6fe15c9ae3/userFiles-013c9dca-3d7d-4315-8618-e939b59061b3/Label_Tweet_in_RealTime.py
2018-06-24 16:46:43 INFO  Executor:54 - Starting executor ID driver on host localhost
2018-06-24 16:46:43 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 36508.
2018-06-24 16:46:43 INFO  NettyBlockTransferService:54 - Server created on ip-172-31-29-64.ca-central-1.compute.internal:36508
2018-06-24 16:46:43 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2018-06-24 16:46:43 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, ip-172-31-29-64.ca-central-1.compute.internal, 36508, None)
2018-06-24 16:46:43 INFO  BlockManagerMasterEndpoint:54 - Registering block manager ip-172-31-29-64.ca-central-1.compute.internal:36508 with 413.9 MB RAM, BlockManagerId(driver, ip-172-31-29-64.ca-central-1.compute.internal, 36508, None)
